,企業名,セールスポイント,採用ステータス,初年度年収
0,株式会社優誠 | 【大阪府緊急雇用対策に賛同】ノルマなし＆成約率は50％以上！,【営業スタッフ】未経験OK／月収100万円超も可能／基本土日休み 正社員,正社員,"仕事内容 【専門知識は入社後に学べます！】住まいでお悩みのお客さまへ「住宅のリノベーション」を提案 ※先輩の8割超が完全未経験から一人前になりました！
対象となる方 【第二新卒特別特集参画中】◆学歴・経験不問 ◆社員の平均年齢26歳 ※複数名の採用を予定。ガッツリ稼ぎたい方、オフも大事にしたい方にピッタリ！
勤務地 【なんばからアクセス良好！最寄り駅から徒歩3分の好立地】 ★2019年7月にオフィスを移転・拡大し…
給与 月給23万5,000円〜35万円＋インセンティブ＋諸手当＋賞与 ※年齢・経験・スキルを考慮の上、当社規定に…
初年度年収 300万円～850万円"
1,"サングローブ株式会社 | ★創業7期目で15,000社と直取引★年休130日/土日祝休み/残業ゼロ",新しいカタチの【法人営業】★未経験から年収1000万可★Web集客 正社員,正社員,"仕事内容 ◆完全オフィスワーク◆仕事のやり方から服装まで「自分らしさ」を大切に！自己裁量が大きい環境で【最先端Web集客支援】サービスをご提案します。
対象となる方 【未経験の方、大歓迎！将来の管理職候補】【20～30代活躍中】★社会人経験をお持ちの方 ★営業・テレマーケティング経験者は歓迎します！
勤務地 【早期入社できる方は優先選考！】転勤なし／東京（新宿）、大阪（梅田）◆勤務地を選べます★服装自由…
給与 【1.営業経験者】 月給35万円〜 【2.Webインサイドセールス営業経験者】 月給52万円〜 【3.営業未経験…
初年度年収 350万円～1000万円"
2,株式会社アウトソーシングテクノロジー | R&D事業本部 | 正社員×安心して長く働く×大手メーカーと直取引,キャリアUP前提採用！【メカ・ロボットエンジニア】東海勤務限定 正社員,正社員,"仕事内容 ＜ものづくりエンジニアとして着実なキャリアパスを実現！＞◆今までの経験を活かしながら、メカ・ロボットに携わる技術者として活躍して頂きます！
対象となる方 ＜入社後は約1ヵ月半の研修あり＞◆ものづくり業界で何かしらの経験をお持ちの方◆経験が浅い方も大歓迎！キャリアアップ前提の道を用意しています！
勤務地 ＜エリアを超える転勤なし＞ ◆東海エリアの各プロジェクト先（愛知、静岡、三重、岐阜） ※車通勤OK…
給与 ◆月給20万円以上＋残業代＋一律手当 ※スキル・経験年数・年齢等を考慮し話し合いの上、決定します。 …
初年度年収 300万円～500万円"
3,株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／連休OK！,【登録事務スタッフ】☆未経験歓迎☆基本定時退社☆土日休み 正社員,正社員,"仕事内容 【お客さま対応はありません☆】クルマの名義変更手続き・届け出などの事務作業をお任せします。★マニュアル完備！難しい作業はありません♪
対象となる方 【未経験・第二新卒歓迎！】＼学歴・性別・年齢不問／ オフィスワークに興味がある方歓迎！★90％以上が未経験スタート ★既卒・社会人デビューもOK
勤務地 転勤なし/全国に勤務地あり/勤務地は希望考慮/マイカー通勤OK 東北（宮城県） 関東（東京都・神奈…
給与 【東京・埼玉・千葉】 月給233,600円以上 ＋ 賞与年2回 ※経験・能力等を考慮し決定いたします。 ※固定…
初年度年収 300万円～550万円"
4,株式会社NST | 総合不動産企業としてグループ年商1000億円を目指して成長中！,自社ブランドマンションの【宅建事務】月給34万円～/土日祝休み 正社員,正社員,"仕事内容 書類作成や契約時の重要事項説明など、営業スタッフが担当する案件のサポート業務を中心にお任せします。★サポート件数に応じてインセンティブあり！
対象となる方 【資格があれば応募OK！】必須条件：◎宅地建物取引士資格◎ローンに関する知識や経験　◆契約業務経験、金融機関での実務経験をお持ちの方は歓迎！
勤務地 ≪転勤なし/アクセス・展望◎ 新宿住友ビル38Ｆ≫ 新宿本店営業部：東京都新宿区西新宿2-6-1　…
給与 月給34万円〜月給50万円+インセンティブ ※経験・スキルを考慮の上、当社規定により優遇 ※上記、給与に…
初年度年収 450万円～700万円"
5,JTA株式会社 | 【20代で年収1000万円超えの社員続出中！】◆土日休み◆転勤なし,本気で年収1000万円を目指す方へ【営業】高率インセン＋随時昇給 正社員,正社員,"仕事内容 【20代で年収1000万円の高収入を実現する社員も多数在籍中】◆一般のお客様へKDDIの高速通信サービス等をご案内します◆成約率80％以上
対象となる方 【実績を出せば必ず評価します！1年以内にマネージャーへの道も！】◎未経験・第二新卒の方歓迎します◎35歳までの方全員と面接します！
勤務地 ★転勤なし ★渋谷本社または各支店、全国各拠点 ★希望の拠点で働けます 【本社/支店】 ◆渋谷本社…
給与 月給25万円以上＋高率インセンティブ＋随時昇給 ※上記はあくまで最低保証給です。 ※経験・年齢を考慮の…
初年度年収 500万円～1000万円"
6,株式会社タウンハウジング | 【CMも放映！今期過去最高益の見込】1都3件に102店舗展開！,【ルームアドバイザー】★個人ノルマなし　★長期休暇たっぷり！ 正社員,正社員,"仕事内容 【反響営業スタイル】お客様の条件に合ったお部屋をご案内するルームアドバイザー業務をお任せ　※高収入&早期昇格が可能　※今期・過去最高益見込
対象となる方 【お客様本位の接客・営業がしたい方へ】◆正社員・社会人デビュ ーを目指す方もOK　※3カ月の研修で基礎知識から習得＜未経験・第二新卒歓迎＞
勤務地 【原則転居を伴う転勤なし】 首都圏102店舗の直営店（東京／神奈川／埼玉／千葉） ★お住まいから無…
給与 ◆月給24万5,000円以上 ＋ 充実の手当 ＋ 歩合給 ※経験・年齢を考慮のうえ、当社規定により優遇いたし…
初年度年収 350万円～600万円"
7,株式会社ビッグモーター | マイカー通勤OK◆年収例500万円（26歳：未経験入社3年目）,未経験歓迎★1～2時間の短距離★普通免許でOK【配送ドライバー】 正社員,正社員,"仕事内容 《1～2時間の短距離！夜勤なし♪》クルマの引取り・納車などの配送や運搬をお任せします。★1日に2～3件対応します。
対象となる方 《必要なのは普通免許のみ！》 ＼未経験・第二新卒歓迎！ブランク・転職回数・学歴など不問♪／ ★20～40代が活躍中！
勤務地 ★転勤なし ★全国募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪ ★勤務地は…
給与 月給27万8600円〜40万円 ＋ 賞与年2回 ＋ 諸手当 ※スキル・経験等を考慮し、決定いたします。 ※配送手…
初年度年収 300万円～700万円"
8,株式会社貴順 | ★未経験歓迎★初期費用0円★週払い・日払い制度有★男女活躍中,【軽ドライバー】都会で稼ぐ！年収1000万円夢じゃない★全国募集 業務委託,業務委託,"仕事内容 【寮制度あり！首都圏エリアでのお仕事を積極支援！】個人宅への宅配やルート配送★軽自動車（AT車）で運ぶので安心★車両のレンタル・持ち込みOK！
対象となる方 【未経験大歓迎／学歴・ブランク不問】■要普免（AT限定可）★これまでの経験は一切問いません！ ★社会人デビューも応援 ★正社員登用制度あり
勤務地 【首都圏エリア積極採用中！】全国に勤務地候補あり ◎転勤なし ◎寮制度あり ※規定あり 〈本社住所…
給与 完全出来高制（1件あたり150円〜240円） ★月収55万円以上のスタッフ8割以上 ☆収入満足度90％以上 ※…
初年度年収 100万円～1000万円"
9,日本eリモデル株式会社 | 勤続1年以上の平均月収59万3000円【大阪府緊急雇用対策に賛同】,景気に左右されず好調！【企画営業】就職祝金15万円★転勤なし★ 正社員,正社員,"仕事内容 未経験から成長できるエクステリアプランナー。エクステリア（住まいの外側）を中心にインテリア等、住まい全体のプランニングをお任せします。
対象となる方 ■高卒以上　■年齢不問　■エコや環境について関心をお持ちの方（知識は入社後に身につけられます）　■自分の夢や目標を絶対に実現したい方
勤務地 ■宇都宮支店：栃木県宇都宮市 ■高崎支店：群馬県高崎市 ■埼玉支店 ：埼玉県さいたま市大宮区 ■千…
給与 [1]月給19万500円〜24万3500円※勤務地により異なる （固定残業代5万3000円〜6万7500円／53h含。超過分別…
初年度年収 300万円～700万円"
